Repository_Name,Total
ResumeTemplates,87
kuldeep-in.github.io,28
TechWithKD,12
github-stats,11
kuldeep-in,6
ResumeWebsiteRepo,4
myflightradar24,3
CloudLearningRepo,3
ResumeWebsiteNetCoreRepo,2
databricksapps01-CRUD,2
shubhankarchahar.github.io,1
MultiRoleAuthRepo,1
GitHub_Stats,1
KD_PortfolioTemplate01,1
SliderGame_WP8,0
SQLMigrationRepo,0
ResumeStaticWebAppRepo,0
repo001,0
RentOrExchangeRepo,0
UploadExceltoSQL.NET,0
_archiveRepo,0
PythonLearnRepo,0
python-generateSVG,0
Nabeelah-beel4real,0
adfdemo,0
mslearn-tailspin-spacegame-web,0
DigitalFashionRepo,0
AzARMRepo,0
AzFuntion-MSProfile,0
AzureDataWebAppRepo,0
AzureIcons,0
ConsoleAppRepo,0
dbdemos-notebooks,0
FlightInformationRepo,0
MarathonMobileAppRepo,0
fullstackopen-exercises,0
Hanieh73,0
IdentityAuthRepo,0
KD_PortfolioTemplate02,0
kedarshashishekar.github.io,0
ADX-in-a-Day-Lab1,0
kuldeepsingh-k,0
