Repository_Name,Total
kuldeep-in.github.io,396
ResumeTemplates,301
github-stats,214
GitHub_Stats,69
TechWithKD,30
databricksapps01-CRUD,28
kuldeep-in,9
myflightradar24,6
ResumeWebsiteRepo,6
CloudLearningRepo,5
ResumeWebsiteNetCoreRepo,2
dbdemos-notebooks,2
KD_PortfolioTemplate01,1
MultiRoleAuthRepo,1
shubhankarchahar.github.io,1
UploadExceltoSQL.NET,0
SQLMigrationRepo,0
Nabeelah-beel4real,0
ResumeStaticWebAppRepo,0
repo001,0
SliderGame_WP8,0
RentOrExchangeRepo,0
PythonLearnRepo,0
python-generateSVG,0
_archiveRepo,0
adfdemo,0
mslearn-tailspin-spacegame-web,0
MarathonMobileAppRepo,0
ADX-in-a-Day-Lab1,0
kedarshashishekar.github.io,0
KD_PortfolioTemplate02,0
IdentityAuthRepo,0
Hanieh73,0
fullstackopen-exercises,0
FlightInformationRepo,0
DigitalFashionRepo,0
ConsoleAppRepo,0
AzureIcons,0
AzureDataWebAppRepo,0
AzFuntion-MSProfile,0
AzARMRepo,0
kuldeepsingh-k,0
